input_state_5bit,response,response_min,response_max,response_std,source,note
00000,1.00000000,1.00000000,1.00000000,0.00000000,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
00001,1.13449167,1.13100000,1.13780000,0.00187590,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
00010,1.11251667,1.10050000,1.13030000,0.00694522,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
00011,1.19157083,1.19070000,1.19230000,0.00054791,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
00100,1.10027500,1.09220000,1.11760000,0.00651155,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
00101,1.22289167,1.20960000,1.24660000,0.01236494,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
00110,1.15318333,1.14850000,1.15640000,0.00261528,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
00111,1.29082500,1.28940000,1.29410000,0.00190173,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
01000,1.08903333,1.08630000,1.09100000,0.00155173,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
01001,1.27318333,1.17550000,1.99220000,0.22692803,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
01010,1.18645833,1.17020000,1.20840000,0.01082837,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
01011,1.27805833,1.26160000,1.30500000,0.01428034,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
01100,1.13149167,1.12550000,1.13870000,0.00506870,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
01101,1.25646667,1.24690000,1.26690000,0.00752539,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
01110,1.26292500,1.23350000,1.28390000,0.01726932,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
01111,1.36140833,1.35560000,1.37280000,0.00581307,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
10000,1.08261667,1.07400000,1.09170000,0.00457540,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
10001,1.19777500,1.18940000,1.20830000,0.00470669,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
10010,1.17229167,1.15630000,1.19800000,0.01097348,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
10011,1.24290000,1.23680000,1.25800000,0.00592130,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
10100,1.16655000,1.15270000,1.18800000,0.01061555,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
10101,1.26086667,1.24880000,1.26900000,0.00686802,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
10110,1.22735833,1.22100000,1.23500000,0.00500136,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
10111,1.31614167,1.29700000,1.33550000,0.01346142,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
11000,1.11585833,1.10750000,1.12500000,0.00585840,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
11001,1.25418333,1.25190000,1.25700000,0.00204621,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
11010,1.21834167,1.19920000,1.22840000,0.00987075,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
11011,1.30269917,1.29000000,1.32069000,0.00883917,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
11100,1.24417500,1.23180000,1.27140000,0.01484454,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
11101,1.33999167,1.33260000,1.35090000,0.00577037,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
11110,1.32825000,1.31850000,1.33840000,0.00604671,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
11111,1.42610000,1.42330000,1.42880000,0.00265604,rc_pndi_p_NDI_05s,Mean of 12 repeated p-NDI measurements from rc_pndi/data/p_NDI_05s.xlsx
